traj,parameter,EE_delta_lcoe_raw,EE_delta_lcoe_corrected,EE_switch,bias_correction_factor
1,N_mid,30.375156235964567,27.370902152365492,306.0,0.9010950244910345
1,SA_PV_capex_mult,7.901882744899002,7.120347225540049,-1678.5,0.9010950244910345
1,Discount_rate,-1.4858156895152739,-1.338861125132929,490.5,0.9010950244910345
1,Diesel_price_USDl,0.0,0.0,0.0,0.9010950244910345
1,MaxGridDist_km,-9.901857750529205,-8.922514752219854,8379.0,0.9010950244910345
1,Rural_tier,-33.189248367501456,-29.90666657055275,-9492.0,0.9010950244910345
2,N_mid,4.470166538721566,4.028044826688312,480.0,0.9010950244910345
2,SA_PV_capex_mult,8.37815572497447,7.549514438185571,-2334.0,0.9010950244910345
2,Discount_rate,-0.5836135396697464,-0.5258912568220094,-544.5,0.9010950244910345
2,Diesel_price_USDl,0.0,0.0,0.0,0.9010950244910345
2,MaxGridDist_km,0.08529494826514483,0.07685885349594221,76.5,0.9010950244910345
2,Rural_tier,67.28045285652645,60.626081314519595,15060.0,0.9010950244910345
3,N_mid,4.988532214348216,4.4951415578624205,295.5,0.9010950244910345
3,SA_PV_capex_mult,2.0987494336679138,1.8911726723315336,307.5,0.9010950244910345
3,Discount_rate,-3.689097448851964,-3.3242273560230733,1797.0,0.9010950244910345
3,Diesel_price_USDl,0.0,0.0,0.0,0.9010950244910345
3,MaxGridDist_km,-24.291933403232235,-21.88934032492013,7014.0,0.9010950244910345
3,Rural_tier,107.97152665117123,97.29260545207153,1717.5,0.9010950244910345
4,N_mid,35.66284362434503,32.13561094909912,73.5,0.9010950244910345
4,SA_PV_capex_mult,7.390619550573472,6.659650504927922,-2623.5,0.9010950244910345
4,Discount_rate,-1.6222547211463407,-1.4618056576820582,-306.0,0.9010950244910345
4,Diesel_price_USDl,0.0,0.0,0.0,0.9010950244910345
4,MaxGridDist_km,-17.447902889776625,-15.722218481780459,7213.5,0.9010950244910345
4,Rural_tier,49.62644743805357,44.71814486959592,7366.5,0.9010950244910345
5,N_mid,25.82417895787038,23.27003917050307,46.5,0.9010950244910345
5,SA_PV_capex_mult,1.5909066846376534,1.4335580979565168,376.5,0.9010950244910345
5,Discount_rate,-3.302700240497625,-2.976046754097753,2338.5,0.9010950244910345
5,Diesel_price_USDl,0.0,0.0,0.0,0.9010950244910345
5,MaxGridDist_km,0.02815123218254989,0.025366935252987593,691.5,0.9010950244910345
5,Rural_tier,63.66517284548797,57.36837048443093,6846.0,0.9010950244910345
6,N_mid,7.343864577556741,6.6175198313723325,696.0,0.9010950244910345
6,SA_PV_capex_mult,0.7948971624035173,0.7162778780238512,541.5,0.9010950244910345
6,Discount_rate,-1.0186470363983273,-0.9178977762110705,-876.0,0.9010950244910345
6,Diesel_price_USDl,0.0,0.0,0.0,0.9010950244910345
6,MaxGridDist_km,0.7568847275312902,0.6820250620916979,313.5,0.9010950244910345
6,Rural_tier,65.73275357095588,59.231457188883624,11049.0,0.9010950244910345
7,N_mid,20.98916530658526,18.913232425983818,90.0,0.9010950244910345
7,SA_PV_capex_mult,11.092294669580212,9.995211536947153,-3324.0,0.9010950244910345
7,Discount_rate,-1.8689367258867264,-1.6840895847850936,616.5,0.9010950244910345
7,Diesel_price_USDl,0.0,0.0,0.0,0.9010950244910345
7,MaxGridDist_km,-13.747884535157251,-12.388150351907438,6787.5,0.9010950244910345
7,Rural_tier,-35.14812554179379,-31.67180104589663,-9861.0,0.9010950244910345
8,N_mid,4.548526603023551,4.098654690749629,372.0,0.9010950244910345
8,SA_PV_capex_mult,12.880310136897528,11.606383378259798,-1770.0,0.9010950244910345
8,Discount_rate,-4.958097169915,-4.467716690753486,1599.0,0.9010950244910345
8,Diesel_price_USDl,0.0,0.0,0.0,0.9010950244910345
8,MaxGridDist_km,-21.97179410456968,-19.798674346769182,6747.0,0.9010950244910345
8,Rural_tier,86.9412931550952,78.34236668487272,6178.5,0.9010950244910345
