rank,parameter,mu_star,mu,sigma
1,Rural_tier,60.14870206738726,43.93349504199194,46.35386178299385
2,N_mid,14.513652790492289,14.513652790492289,10.913979778506198
3,MaxGridDist_km,10.670277493407596,-10.50530527746273,9.003982652104844
4,SA_PV_capex_mult,6.2342176511683745,6.2342176511683745,3.9940416667473193
5,Discount_rate,2.200855916441975,-2.200855916441975,1.3692535276370474
6,Diesel_price_USDl,0.0,0.0,0.0
