sample,P1,Pinf,Pstep,discount_rate,diesel_price,N_mid,method,delta_lcoe_pct_raw,delta_lcoe_pct_corrected,switch_count,bias_correction_factor
1,4.222398846783152,1.7903376896803507,2.0205078639003786,0.0840643149669956,1.7343688564191653,47.75505895395928,full_OnSSET,33.356266244211014,30.05716554825679,4323.0,0.9010950244910345
2,4.828683511099269,1.3382210928422298,2.759268101615305,0.07541958744519955,1.9153698045989591,11.821619666163391,full_OnSSET,64.68446188783223,58.28684676900557,4336.0,0.9010950244910345
3,4.759436576165226,1.50304910865577,2.257858801955703,0.11039836891000562,1.9976260896825684,39.80964919670728,full_OnSSET,60.84855702210705,54.83033198007966,5046.0,0.9010950244910345
4,4.60708851603993,1.0265046279530767,2.630166752688596,0.08002194932793968,1.711545938087636,35.21142641628626,full_OnSSET,82.64456176911314,74.47060341138982,4395.0,0.9010950244910345
5,4.237619487952679,1.722486241426569,2.1856546212303756,0.10369552046480926,2.0021206776178255,12.931631428976287,full_OnSSET,27.485866343896355,24.767377406310587,4655.0,0.9010950244910345
6,3.3608398225338725,1.8848774313106398,2.6873671490934274,0.10861961184826899,1.749689417063787,30.176165895135625,full_OnSSET,65.82998633101286,59.319073145188504,4342.0,0.9010950244910345
7,3.130458889208594,1.7929529240166073,2.368801760491367,0.07343286546593875,2.2290246681937447,32.38133723156863,full_OnSSET,40.374360658903825,36.381135506744805,3536.0,0.9010950244910345
8,4.149390433114578,1.077240829071374,2.5607296106132957,0.13396685139361714,1.8599513294929098,20.02984620341417,full_OnSSET,60.70817320719137,54.70383282294007,5149.0,0.9010950244910345
9,3.609343074405133,1.921098687445061,2.6953257915757125,0.09143020032260504,2.2054737706944265,42.76969363392006,full_OnSSET,71.56468569219474,64.48658220650141,4215.0,0.9010950244910345
10,4.660763555453743,1.10261105077988,2.1151065891374072,0.09897054775647152,2.2427549529803854,24.447350592414967,full_OnSSET,43.966683645191715,39.618159876053596,4784.0,0.9010950244910345
11,3.944470206600621,1.1681885374721472,2.392308545054179,0.12559491856711413,1.9554949832054187,24.278698972289185,full_OnSSET,51.14485419080476,46.0863736396536,4925.0,0.9010950244910345
12,3.395188037792642,1.8105377413367192,2.2697922197139047,0.09220138588420168,1.5651337740923628,31.09988467963698,full_OnSSET,35.56909764657139,32.05113691496125,4036.0,0.9010950244910345
13,4.7995407279802835,1.5389278493162666,2.2612992522707906,0.06933643770409198,2.2388496779486395,34.86259231786505,full_OnSSET,59.86418392587797,53.9433182808248,4196.0,0.9010950244910345
14,3.4222574257708622,1.395751456288131,2.4971622688922053,0.11820546258483114,1.8320494263840028,12.271694632236244,full_OnSSET,38.86991454523526,35.02548659910319,4464.0,0.9010950244910345
15,3.1536057225484546,1.8899619976444137,2.652932259008601,0.06652048281780053,1.9315606101432459,14.556105308583767,full_OnSSET,60.318621931235086,54.35281010639173,3471.0,0.9010950244910345
16,4.790272200429564,1.6924603326373575,2.528172398270563,0.06505505797586979,1.849530294986191,20.601354801240532,full_OnSSET,66.12876543985453,59.588301513587595,4089.0,0.9010950244910345
17,3.5413483161502297,1.4593757073960865,2.5232549304965186,0.0880989395824719,2.0582210996746064,49.41336706716748,full_OnSSET,66.96118206389623,60.338387991815196,4117.0,0.9010950244910345
18,3.612280736794394,1.1442127008923453,2.2794388318969823,0.0727192398378283,1.9029700069772575,10.845471012826673,full_OnSSET,26.66772801337461,24.03015702733204,3837.0,0.9010950244910345
19,4.59690401498457,1.4389445418411613,2.5113554560393356,0.06788707724067149,2.1528755887848634,40.47194386733553,full_OnSSET,79.7725565010069,71.88265375398726,4131.0,0.9010950244910345
20,4.1095452959567815,1.3407245324184693,2.8031540213002866,0.10449646588324138,1.837564508978129,20.40930939572413,full_OnSSET,74.96001782189573,67.54609909506952,4742.0,0.9010950244910345
