hh_rural,hh_urban,n_mid,rural_median_rho,dlcoe_pct,switches_sapv_grid,switches_total,d_investment_pct,d_capacity_pct,investment_r0_bn,investment_r1_bn,predicted_dlcoe_pct,predicted_switches,source
4.5,4.6,20,3.3206713837852964,48.1004609894531,33605,33606,44.18158678040367,3.4511998315169823,16.65283041879556,24.010315141669178,46.8,33874,2026-08-21_hhsize
5.0,4.6,20,3.38412222082954,49.9231390189036,34461,34461,45.59099998707079,2.9459613577230925,15.578791807150655,22.681318777934493,49.923139,34461,2026-08_final_lcoe (canonical)
5.5,4.6,20,3.4433725246677267,51.62156217047578,34694,34695,46.878089758899264,2.4634424221432027,14.670911893911377,21.548355139988182,52.9,34461,2026-08-21_hhsize
