rank,parameter,mu_star,mu,sigma
1,Rural_tier,66.94483185977005,48.89748801733284,51.5913290969595
2,N_mid,16.153533032883175,16.153533032883175,12.147137279445623
3,MaxGridDist_km,11.87589936509313,-11.692287136094578,10.021331865783822
4,SA_PV_capex_mult,6.938614435388867,6.938614435388867,4.445323650072396
5,Discount_rate,2.4495279899593037,-2.4495279899593037,1.5239638434485818
6,Diesel_price_USDl,0.0,0.0,0.0
